,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78
source_dataset:TE-15,2.519995,0.7697623,-0.043601546,3.4375908,-1.7707607,-0.8921816,0.35791504,-1.0269245,0.08771098,-1.7317753,-0.93432146,-2.9275155,2.131147,3.3252738,0.41381377,0.40019515,-0.81336796,-1.9128972,1.2114829,-1.4902551,-1.6867902,2.4242697,-1.1021634,0.86352056,-0.9881711,0.7033925,1.3531767,1.8343177,1.391638,-0.48702255,-1.005831,-0.9777579,1.9812534,0.4819728,1.1716515,-0.4647844,-2.1765058,-1.2878411,1.4041306,-0.26435068,-0.7906945,0.3683278,-0.514632,-0.14164983,0.6525434,-0.026445225,0.32035816,1.0111367,0.3103841,0.4507839,-1.1288904,-2.6813622,-1.8068736,-0.6749472,0.4695579,-2.583007,1.8260458,1.1563089,1.7288638,0.076937616,-0.87089103,2.026354,0.51647216,0.9216222,1.3339605,-2.8722878,2.5242486,1.6625626,1.3596231,1.9957527,-1.2209406,-0.32189566,1.6703976,0.54861623,1.3252276,0.97446465,0.8596445,-0.2717652,-1.3972243
source_dataset:SaOS-2,-1.6081518,-0.8069914,0.50636125,-2.0942266,0.029975887,-0.27852783,1.1136485,-0.422672,0.5775116,1.9292166,-0.30342865,0.77520883,1.0325278,-0.15345907,-1.3592217,1.2590882,-1.1949223,0.18492565,0.81507254,-1.8339486,-2.1838005,-1.7316425,-1.57755,-0.6492698,0.49020064,-0.34082922,-1.7522494,-0.12755623,0.13924304,1.5875438,2.2132468,2.6088982,1.0715146,0.04698956,2.231901,-0.9639423,0.7790568,0.29256505,1.0980101,-1.4614866,0.82885873,2.4560971,0.004797384,1.0766565,1.429818,-0.29163224,-0.23674214,-1.8671658,0.7403501,-0.28015855,-0.095771804,-0.3176563,0.4944041,2.2841744,0.14153078,0.7433327,0.036978696,-1.3262328,-1.3804888,-2.0935051,-0.9490246,-1.087474,-0.26818112,0.8276802,-0.18071549,-0.05987985,-1.1675512,-0.17354897,-1.3583146,0.1896026,1.3748434,-0.45880228,-0.32854408,1.967209,0.017952269,-1.489477,2.056534,0.055860907,3.3094947
source_dataset:NCI-H747,1.5223742,-0.16931161,0.06758313,2.8969867,-1.7309928,-0.5635003,0.49934363,0.044267856,0.5052759,-0.7978419,-1.1129026,-1.5984358,0.4271567,1.3834223,1.8567113,0.36578935,-0.48845923,-0.56010383,0.7106959,1.2598947,1.1720454,2.3579686,-1.203714,-0.13491279,-0.33800912,-0.5148712,-0.24533951,0.5078546,-0.6171254,-1.7014376,-2.2121527,-1.8057661,-0.95442456,-0.8931203,-0.54679894,0.93352723,-0.8494157,-0.10829574,1.1109643,1.0717844,-0.8644796,0.089537196,1.1710997,1.1864228,0.3309466,-0.31579217,0.41737348,0.5774613,-0.2013122,-0.31955367,-0.105229795,-0.3166072,0.14766674,-1.3292329,0.6111713,0.3824738,1.8649751,1.0912127,0.7352164,0.4084393,-0.32944718,0.39244255,-0.79136705,-0.23233326,1.2218809,-2.2615516,2.6634622,0.37347338,0.2621645,1.34123,-1.4078411,0.042939134,-0.5599031,-1.9165932,0.76475674,1.1714394,-2.0420952,0.7254772,-1.7428408
source_dataset:IM-9,-1.1067079,2.5749412,0.22177418,1.3101394,2.6015732,0.99321973,-2.8023741,-0.38701716,-1.1622264,1.5769325,1.8630588,-1.7403445,0.1746529,0.27417576,0.99036586,-0.66199285,0.008334128,-1.0158861,0.27712426,-0.15775251,2.261518,-0.30090767,0.22729965,-1.1363109,1.184703,1.8758252,0.6886284,-2.2130864,-0.1013217,-0.7575648,1.341884,-0.8587791,0.9377439,-0.45463285,-1.1565006,-0.17482482,0.6546225,-1.1750114,-1.5810368,-0.54580075,0.6542592,0.88243306,1.468631,-0.9449043,-0.5725442,0.4480292,0.22821747,-0.1935772,0.7736038,-0.08621487,-0.95127904,1.9998963,0.9588818,0.21157867,-1.4122887,-1.6492736,-2.4795897,0.44471362,0.6112341,0.19800335,-0.80307037,-0.33715993,1.1271672,1.3569123,0.32900777,1.2733016,1.1675763,0.014516726,-0.040652413,-0.37922135,1.3307924,1.2256061,-1.782827,1.0322771,0.71420753,0.9965593,0.18825693,-3.0462775,0.32861808
source_dataset:NCI-H2591,0.7107643,-1.0892667,-0.821468,-0.510278,-0.75227416,1.4441955,-0.12862705,0.08132209,0.5860947,2.3587897,-0.71779805,0.3036333,-1.0370839,-1.942658,-0.39415336,-0.71901965,-0.04607569,-0.18834338,1.4907203,-0.20358908,1.5294552,0.050034888,1.0484262,0.57719535,-0.51362234,0.046992764,-0.9374555,0.7891291,-1.4221367,-0.02297822,-0.21655038,1.0552363,-2.6179216,-0.32834652,-2.9425657,1.3313597,1.4560815,-1.7007314,0.77680105,-0.20261557,-0.778829,2.052221,-0.5269939,1.2234251,-0.6972542,-0.99695575,-1.2312348,0.45421863,0.023429822,1.0321823,-1.1151792,-1.0040952,0.117186934,-0.5639191,-0.91966987,0.37775266,0.055940576,0.7524391,0.844764,3.1684065,-2.4771347,-0.75968915,0.46499178,-0.37612942,0.6485162,-1.2126672,1.4322501,0.31777257,-1.6598859,-0.08830601,0.37118095,-0.027341016,1.5781269,-0.5820594,0.6304579,0.6125009,0.08290681,-1.3073077,-0.79665375
source_dataset:JVM-2,-0.6986321,1.957746,-0.028907023,0.76496243,2.0367222,-0.06234686,-2.8746696,-0.78415966,-0.7918609,1.4595038,0.87083787,-0.61932343,-0.3592109,0.25248766,0.7364713,0.62127775,-0.561549,-0.8143425,0.3419999,-0.23329794,1.7133487,-0.8497056,-0.28669208,-1.4307061,1.6910565,0.32716215,0.95610875,-2.8408945,1.1050133,0.88887215,0.38828182,-1.0540367,0.9083178,-0.40387025,-0.26923504,-1.554598,1.0276214,-0.20060909,-2.6412833,0.4079999,0.2278364,0.11790415,1.3336953,-1.1556692,-0.44199073,-0.34622264,-0.2878751,0.317474,-0.01796168,0.6505128,-1.8035145,3.15052,0.23506752,0.6088994,-0.40335256,0.22227153,-0.57327795,-0.24190974,0.17684746,-0.20168263,-0.78173435,0.57888484,0.73549986,0.6108841,0.16180122,1.5267636,0.7711248,-0.60717344,-0.052967526,0.053064138,0.47190565,1.3821521,-2.2551165,0.16971093,0.4159488,0.103826545,-0.22633225,-2.42966,1.5944284
source_dataset:NALM-6,-0.37577444,0.8283423,0.53629565,-1.218216,0.47311503,0.7011742,-2.5003378,-1.3998799,1.1847141,0.32411695,1.2730927,-1.1653125,0.025265954,-0.8516943,-0.041259058,-0.94983935,0.8849498,-1.2625089,0.8725149,-0.13702741,0.40933648,-1.5295932,3.1473744,-0.1505692,0.92686313,-0.58939934,0.45998827,0.012306094,-0.3880107,-0.5038408,-0.115360856,-0.19245961,1.1313233,1.8222846,-0.7831452,-0.025543917,-0.18108399,-1.3985126,0.9532057,1.3187494,-0.7053279,-0.75873506,1.9171287,0.012138993,-1.55078,-0.04958595,0.15504725,-0.5619686,-1.0902692,-1.3435268,-0.29031202,0.91474026,-0.35419956,0.4587157,-0.8696061,0.7899522,1.2474878,-0.2847536,0.81491673,-1.1809523,0.2534333,-1.1263127,0.7108083,1.1388062,0.08177195,1.281761,0.3435762,0.8647198,0.16742513,-1.6251708,-0.7628524,0.8096026,0.97915137,2.2084048,-0.48624218,-1.021195,-0.58576965,0.7781148,0.28356174
source_dataset:GCIY,-1.4016347,-0.63490057,0.28413197,-0.65103483,0.47690165,-0.98722845,-0.17443739,0.472804,-0.89674157,1.2292453,-0.40433377,-0.6464955,0.4377276,-0.05883622,1.0279297,1.3861798,-0.94412726,-0.13035372,-0.546203,-0.27041376,0.13123724,-0.9769095,0.5167117,-0.43513817,-0.39621475,0.17372228,-0.5450611,-0.112219855,-0.009804765,-1.6165533,0.8028419,-0.31114516,0.5540751,0.5595322,-1.1001647,0.34589624,1.2894976,0.3150329,-0.87000215,0.33787882,-0.3404782,-0.10564165,-0.29471692,0.8683456,1.339023,-0.12615392,0.10182063,0.99222356,0.4157071,1.1940713,0.95188385,-0.42462325,-0.54841965,0.60434747,1.5414655,0.5370855,1.7667485,0.7128321,-0.40990195,-0.23778266,0.07625964,0.29008436,0.13499036,-0.7726866,-0.32156974,-0.3848564,-0.16212802,-1.2943078,0.0069463253,0.60277534,0.77332664,-0.6608865,-0.06947996,-0.4063502,0.36245868,0.11030734,-1.666126,-0.9823803,0.0031261928
source_dataset:SK-MEL-30,-0.8914801,-0.23103008,-0.8115258,-0.8945666,0.39603958,2.147279,-0.21227603,1.2887714,0.09420356,-0.13641915,0.72326815,0.147849,-0.53681624,1.0591491,1.7992634,-1.6338894,0.09158519,0.94331145,-1.9573518,-1.0647018,0.102019414,-0.46632177,0.86919487,-1.0156698,-0.99209654,0.33650666,0.12129557,-0.88384795,0.26287627,2.0996094,-0.15323986,-0.21371272,-0.4597932,-1.5311219,-0.015663631,1.7043735,-0.62889886,0.14414881,0.16570349,0.49016204,-1.0585123,0.5086925,0.14074624,0.49034125,0.9996179,1.1650434,1.2710834,0.47773036,-0.26728174,0.3956256,1.4139416,1.2209828,1.690571,-0.07650788,-1.5863886,1.0446049,0.3509034,-1.9278302,-1.416109,0.9331437,0.082686596,-0.6115349,0.5152749,-0.14009121,-1.7713786,-0.32068503,0.028990235,-1.3881695,-0.5124096,-0.72555774,-1.1225709,0.67470634,-0.45620534,-0.40908167,0.21688032,0.31893554,0.8351492,-0.53259254,-1.0401628
source_dataset:MKN45,-1.2211548,0.37250382,-1.2180194,0.50263816,0.15215905,-0.8480722,1.7133074,-1.3810462,-0.93085814,-0.85822874,-1.525686,0.7145824,0.57729656,2.2194872,-0.5936972,1.1635022,0.53646,1.9964426,0.2342735,-1.5484425,1.5174739,-0.944754,0.766442,-1.1479315,1.0568055,-1.1395116,0.9318677,1.4021538,0.15429252,-0.6054867,-0.0015778765,-0.93106824,1.070634,0.59499496,0.5488149,-1.4167156,-1.3641609,0.37477553,0.3742739,0.30850244,-0.510131,-0.088042274,-1.3317597,0.29535204,0.19269979,0.059295516,0.2155129,0.07192016,0.9120245,0.30390704,-1.2214094,-0.45694542,-0.8200215,-0.68693995,0.70131713,-0.58765775,1.3183299,0.9792817,0.27283993,-1.507009,3.307351,-0.0064516515,-1.9382085,0.14060411,-0.38875294,-0.6548031,-0.7541293,1.1595973,0.63172126,1.000332,-0.22004475,-0.8837708,1.9079348,1.4743559,0.044540346,-0.0828677,-2.656031,-0.7841257,-0.010140836
