target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,gex,IRF4,0.001680067333906322,IntegratedGradients
Erlotinib,0,,gex,ASCL1,0.0023831219269983086,IntegratedGradients
Erlotinib,0,,gex,YAP1,0.005153487298275567,IntegratedGradients
Erlotinib,0,,gex,SLC45A2,0.0005497254172413467,IntegratedGradients
Erlotinib,0,,gex,SOX10,0.0006828238391310058,IntegratedGradients
Erlotinib,0,,gex,MAP4K1,0.0016076005400083079,IntegratedGradients
Erlotinib,0,,gex,TNFRSF17,0.0007510589620948005,IntegratedGradients
Erlotinib,0,,gex,ACAP1,0.0009633574486978091,IntegratedGradients
Erlotinib,0,,gex,GPX8,0.0011582232226725136,IntegratedGradients
Erlotinib,0,,gex,CCN1,0.002027675969578444,IntegratedGradients
Erlotinib,0,,gex,LLGL2,0.001682217576558035,IntegratedGradients
Erlotinib,0,,gex,MYB,0.0022302393647256383,IntegratedGradients
Erlotinib,0,,gex,RHOH,0.001302577721929392,IntegratedGradients
Erlotinib,0,,gex,PRSS8,0.0020226608706084555,IntegratedGradients
Erlotinib,0,,gex,CD86,0.001121278276586388,IntegratedGradients
Erlotinib,0,,gex,TRAF3IP3,0.0033821352465125275,IntegratedGradients
Erlotinib,0,,gex,ST14,0.0016727163204052031,IntegratedGradients
Erlotinib,0,,gex,SPDEF,0.0015622108360377693,IntegratedGradients
Erlotinib,0,,gex,WIPF1,0.0023094951640207882,IntegratedGradients
Erlotinib,0,,gex,PAX8,0.001045938462532595,IntegratedGradients
Erlotinib,0,,gex,AXL,0.001535777102209921,IntegratedGradients
Erlotinib,0,,gex,POU2F2,0.0013289057791313558,IntegratedGradients
Erlotinib,0,,gex,ZBTB32,0.0014621133541975028,IntegratedGradients
Erlotinib,0,,gex,KLF5,0.0022777547939134947,IntegratedGradients
Erlotinib,0,,gex,PERP,0.0016525153311253912,IntegratedGradients
Erlotinib,0,,gex,LGALS4,0.0016239404677099965,IntegratedGradients
Erlotinib,0,,gex,LAIR1,0.0009171221529974338,IntegratedGradients
Erlotinib,0,,gex,WWTR1,0.004336398030180067,IntegratedGradients
Erlotinib,0,,gex,VPREB3,0.0007912172432963522,IntegratedGradients
Erlotinib,0,,gex,PRKCB,0.0031961725890762875,IntegratedGradients
Erlotinib,0,,gex,SP140,0.0018928794732730185,IntegratedGradients
Erlotinib,0,,gex,ELF3,0.0022376036434878553,IntegratedGradients
Erlotinib,0,,gex,IRF6,0.005782891983695913,IntegratedGradients
Erlotinib,0,,gex,GNG12,0.0011250611599673377,IntegratedGradients
Erlotinib,0,,gex,ACTN1,0.004402580451659083,IntegratedGradients
Erlotinib,0,,gex,CAVIN1,0.0016437081733087795,IntegratedGradients
Erlotinib,0,,gex,TSPAN1,0.0038997169046900127,IntegratedGradients
Erlotinib,0,,gex,OVOL2,0.0028452866307463764,IntegratedGradients
Erlotinib,0,,gex,SDC4,0.0009461439755542569,IntegratedGradients
Erlotinib,0,,gex,LYL1,0.003146926267245525,IntegratedGradients
Erlotinib,0,,gex,C1orf116,0.005177678880715406,IntegratedGradients
Erlotinib,0,,gex,CAV1,0.003454811044365186,IntegratedGradients
Erlotinib,0,,gex,CCL22,0.0004952836397009655,IntegratedGradients
Erlotinib,0,,gex,LOXL2,0.0034796759719250476,IntegratedGradients
Erlotinib,0,,gex,DTX1,0.0013522166738999207,IntegratedGradients
Erlotinib,0,,gex,LCP2,0.0009995496058119904,IntegratedGradients
Erlotinib,0,,gex,ZEB1,0.003119282813143561,IntegratedGradients
Erlotinib,0,,gex,SFN,0.0077665654082788626,IntegratedGradients
Erlotinib,0,,gex,COL6A2,0.0013890861628943973,IntegratedGradients
Erlotinib,0,,gex,ANXA1,0.0016427098548717296,IntegratedGradients
Erlotinib,0,,gex,CD22,0.0007912389527726904,IntegratedGradients
Erlotinib,0,,gex,ACTL6B,0.0027517206402048566,IntegratedGradients
Erlotinib,0,,gex,EMP3,0.003119461269525269,IntegratedGradients
Erlotinib,0,,gex,LMNA,0.0017754266798497766,IntegratedGradients
Erlotinib,0,,gex,SIT1,0.001273834074567284,IntegratedGradients
Erlotinib,0,,gex,GPR87,0.0013946917924389922,IntegratedGradients
Erlotinib,0,,gex,ERRFI1,0.0017355668623537397,IntegratedGradients
Erlotinib,0,,gex,MPZL2,0.0020830084402102206,IntegratedGradients
Erlotinib,0,,gex,MAP7,0.002183767063591844,IntegratedGradients
Erlotinib,0,,gex,EPHA2,0.0030375980485605187,IntegratedGradients
Erlotinib,0,,gex,RRAS,0.0035189089247562944,IntegratedGradients
Erlotinib,0,,gex,SH2D3A,0.0020235118070367607,IntegratedGradients
Erlotinib,0,,gex,GJB5,0.0024948004160877937,IntegratedGradients
Erlotinib,0,,gex,COL17A1,0.0036647402505328693,IntegratedGradients
Erlotinib,0,,gex,TACSTD2,0.002955372372798985,IntegratedGradients
Erlotinib,0,,gex,DSP,0.0017949077203802584,IntegratedGradients
Erlotinib,0,,gex,TP63,0.0010789139223322218,IntegratedGradients
Erlotinib,0,,gex,B3GNT3,0.004446246886902887,IntegratedGradients
Erlotinib,0,,gex,SERPINB5,0.0018738088147798567,IntegratedGradients
Erlotinib,0,,gex,CTBP2,0.002246938745515834,IntegratedGradients
Erlotinib,0,,gex,CHGB,0.0023713156411155774,IntegratedGradients
Erlotinib,0,,gex,CLDN3,0.005477352486875343,IntegratedGradients
Erlotinib,0,,gex,IRF8,0.001463256775028111,IntegratedGradients
Erlotinib,0,,gex,HNF1B,0.003951474448700432,IntegratedGradients
Erlotinib,0,,gex,ITGB4,0.0011874027275292072,IntegratedGradients
Erlotinib,0,,gex,CAPN2,0.0012239235219248007,IntegratedGradients
Erlotinib,0,,gex,HLA-DOB,0.001402044912759242,IntegratedGradients
Erlotinib,0,,gex,CD28,0.0005729679524827347,IntegratedGradients
Erlotinib,0,,gex,SLPI,0.0035341212485877076,IntegratedGradients
Erlotinib,0,,gex,FERMT2,0.0009608287795890439,IntegratedGradients
Erlotinib,0,,gex,TNFRSF14,0.0010428948945354513,IntegratedGradients
Erlotinib,0,,gex,TFF3,0.004521299797693849,IntegratedGradients
Erlotinib,0,,gex,LAD1,0.005454521915343414,IntegratedGradients
Erlotinib,0,,gex,CTSL,0.002639975314631619,IntegratedGradients
Erlotinib,0,,gex,CRB3,0.004940996724294779,IntegratedGradients
Erlotinib,0,,gex,PIK3CG,0.0016005371640180645,IntegratedGradients
Erlotinib,0,,gex,CALU,0.003632507809152123,IntegratedGradients
Erlotinib,0,,gex,GPR18,0.0007211727224410915,IntegratedGradients
