feature,na_percent,variance,selected,laplacian_score
ACVR2A,0.0,1.0084758767839992,True,
ADGRA2,0.0,1.0040298637000948,True,
ANK1,0.0,1.0070159871021593,True,
ANK2,0.0,1.0101669321723916,True,
ANPEP,0.0,1.0075483500319786,True,
ARFIP2,0.0,1.0066403061550746,True,
ARID1A,0.0,1.0073005050434984,True,
ARPP19,0.0,1.0051103100584546,True,
ATP1B2,0.0,1.0002485266553205,True,
ATP5ME,0.0,0.9922816048527923,True,
BCL2L11,0.0,1.007141943738404,True,
BIRC2,0.0,1.0096278122026208,True,
BMP8B,0.0,1.005577265877411,True,
BNC2,0.0,1.007316353578248,True,
C1orf174,0.0,1.0106299489733213,True,
CADM2,0.0,1.011866855998676,True,
CCDC81,0.0,1.0061748596247362,True,
CCL1,0.0,1.0066998672743372,True,
CCL21,0.0,1.0032869016599388,True,
CCND1,0.0,0.9998163664174662,True,
CCND3,0.0,1.007744382710962,True,
CCNE1,0.0,1.0041308712694414,True,
CD200,0.0,1.004787579923825,True,
CDH1,0.0,0.9989090527550588,True,
CDH9,0.0,1.0039939659708952,True,
CDK10,0.0,0.9970474845650339,True,
CDKN2A,0.0,1.0092127841371292,True,
CDKN2C,0.0,1.0114953090441494,True,
CLN8,0.0,1.0110680748335679,True,
COL4A2,0.0,1.002826033699478,True,
CPEB2,0.0,0.9915350595282278,True,
CPM,0.0,1.0072980455473146,True,
CRIP2,0.0,1.0072562666700227,True,
CROCC,0.0,1.0076086806469726,True,
CRYZ,0.0,1.0075867829664236,True,
CTNS,0.0,0.9232790485405272,False,
CYP2A6,0.0,1.0068521215805464,True,
CYP2E1,0.0,1.0041222202670548,True,
DAP3,0.0,1.0093200141225005,True,
DDT,0.0,1.0097953534734256,True,
DDX1,0.0,1.0082679587150354,True,
DEPDC5,0.0,1.0106248455368796,True,
DMRT1,0.0,1.0106136205901295,True,
DSG3,0.0,1.0019654513451173,True,
DTYMK,0.0,1.0010684124315776,True,
EGFR,0.0,0.9758433378885257,True,
EGOT,0.0,1.0100742239061828,True,
