feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
A1CF,0.0,0.9898815202601756,True,0.0020379965758685666,True
A2M,0.0,1.0014279230183618,True,0.03135471789027418,False
AADAC,0.0,1.0154419027909791,True,0.10515915804950249,False
AADAT,0.0,1.0274425638647584,True,0.07312432163085522,False
AATK,0.0,0.9897131505042691,True,0.054684547275023074,False
ABAT,0.0,1.0262821856572573,True,0.05495009456435581,False
ABCA1,0.0,1.0035251815756612,True,0.06555204847965482,False
ABCA3,0.0,1.003355153890764,True,0.03334832351468176,False
ABCA5,0.0,1.0046303944873736,True,0.056827472208092755,False
ABCB1,0.0,0.9790935912734313,True,0.08191136771249717,False
ABCB4,0.0,1.0345665553486447,True,0.07165147716188529,False
ABCC1,0.0,1.0146755471481719,True,0.06912725805984293,False
ABCC2,0.0,1.0152294984653036,True,0.05412689766550069,False
ABCC3,0.0,0.999309130966027,True,0.003575851918062946,True
ABCC4,0.0,1.0103631996248696,True,0.056667142552175614,False
ABCC5,0.0,0.992213125171093,True,0.05329941195449899,False
ABCC9,0.0,1.0284483989399476,True,0.07827814943079264,False
ABCG2,0.0,1.0189458298043632,True,0.07557540305007172,False
ABHD2,0.0,0.9923967601497402,True,0.04594061837287433,False
ABHD6,0.0,0.9962209994369025,True,0.016185823447721157,True
ABI1,0.0,1.0292191653403204,True,0.035216509620380684,False
ABI3BP,0.0,0.9539363511009218,True,0.04193071321959766,False
ABL1,0.0,1.0089206153117094,True,0.0524063598288602,False
ABL2,0.0,0.9919356685093128,True,0.024098467531087308,False
ABLIM1,0.0,1.0132961025999165,True,0.03493922191501617,False
ABR,0.0,0.9973429395511222,True,0.07290009063904809,False
ABTB2,0.0,0.9386570123486904,True,0.06958151710124794,False
ACAA1,0.0,1.0322226609261949,True,0.05058060082461373,False
ACADM,0.0,1.0214225071664957,True,0.03742728417442609,False
ACADS,0.0,0.9570262027630402,True,0.05699813561961234,False
ACADSB,0.0,1.0315703170358106,True,0.06845370392245007,False
ACADVL,0.0,0.9897421316928663,True,0.08201726039516392,False
ACAP1,0.0,1.0427751024860865,True,-0.02439091477046837,True
ACAP2,0.0,1.0235813905003905,True,0.08218746045062233,False
ACAT2,0.0,1.0081561912419468,True,0.07435985331141262,False
ACKR3,0.0,0.9726409226649712,True,0.056393448367534946,False
ACOT9,0.0,1.0607955335055603,True,0.04264279835011764,False
ACOX1,0.0,1.0107478326461985,True,0.05660852531425655,False
ACOX2,0.0,0.990179118765707,True,0.06748462795595864,False
ACOX3,0.0,0.9886732719359523,True,0.09020929390088103,False
ACP5,0.0,1.0566890924697572,True,0.027267072352237007,False
ACRBP,0.0,1.0527465034981744,True,0.07487138482780396,False
ACSL1,0.0,1.0049846601857713,True,0.05347668840921547,False
ACSL3,0.0,1.0226919157178755,True,0.05281731269933776,False
ACSL5,0.0,0.9942887473085921,True,0.012972487576697275,True
ACSM3,0.0,0.9741923480410746,True,0.04112451539391312,False
ACSS1,0.0,0.9886093819269094,True,0.04210312369628079,False
ACSS2,0.0,0.9928515787967178,True,0.05200974861253571,False
ACSS3,0.0,1.0021615291818629,True,0.08580618998693981,False
ACTA2,0.0,0.9947671852715937,True,0.051399744746415156,False
ACTC1,0.0,0.9804933854258828,True,0.03506218383215665,False
ACTG2,0.0,0.9427536555811366,True,0.08232518452871229,False
ACTL6B,0.0,1.0334512652072532,True,-0.011794373823033878,True
ACTN1,0.0,1.0151763653976256,True,-0.01544118449424499,True
ACTN2,0.0,1.022721904908397,True,,
ACTN4,0.0,1.0151318087411962,True,0.02016083476714679,False
ACVR1,0.0,1.0257680086476777,True,0.009171582337611577,True
ACVR2A,0.0,0.9888490066451555,True,0.053980556952164714,False
ACVR2B,0.0,1.0275730782796615,True,0.04443117253380126,False
ACYP2,0.0,0.9975576718577868,True,0.11207678244924489,False
ADA,0.0,1.025309314015905,True,0.04099999929307833,False
ADAM10,0.0,0.9737862963795629,True,0.05863570057942711,False
ADAM15,0.0,1.0091389128907318,True,0.0396128351411938,False
ADAM23,0.0,1.0079370187444088,True,0.06645019877774418,False
ADAM8,0.0,1.009274673205569,True,0.05123424679791781,False
ADAM9,0.0,1.014650387675349,True,-0.005356396069243929,True
ADAMTS1,0.0,0.9910494524193479,True,0.030514395436082368,False
ADAMTS3,0.0,0.9932276504387741,True,0.055998129853396035,False
ADAMTS5,0.0,0.9774174237970783,True,0.04889245424628737,False
ADCY1,0.0,0.9973116677214712,True,0.028634331828968435,False
ADCY3,0.0,1.0095010314941713,True,0.07799122524386139,False
ADCYAP1,0.0,1.0480038287400297,True,0.04122367781799905,False
ADD3,0.0,0.9985520095699256,True,0.07016970768593829,False
ADGRA2,0.0,0.9797856875425727,True,0.010307829665970467,True
ADGRE1,0.0,0.9609800128244541,True,0.05856359832614728,False
ADGRG1,0.0,1.0198657414253114,True,0.02371474548281229,False
ADGRL2,0.0,1.0016121625871397,True,0.05461566990126879,False
ADGRL4,0.0,0.9508864470929961,True,0.11477110132908187,False
ADH1C,0.0,0.9620745880717662,True,0.07595850911794218,False
ADH7,0.0,1.01391109234872,True,0.04463790844284098,False
ADI1,0.0,1.0299611109230842,True,0.07992046325004971,False
ADM,0.0,1.0052226815479601,True,0.03398669024857935,False
ADORA2B,0.0,0.9991236408529592,True,0.01365148554268485,True
ADRA2A,0.0,0.9783672792287152,True,0.07628926416179317,False
ADRA2C,0.0,0.9828186824242647,True,0.0700721284807963,False
