sample_id,variable,class_label,probability,known_label,predicted_label,split
source_dataset:TE-15,Erlotinib,,,,0.13878938555717468,train
source_dataset:SaOS-2,Erlotinib,,,0.0,-0.0018064090982079506,train
source_dataset:NCI-H747,Erlotinib,,,0.210227900756041,0.21345774829387665,train
source_dataset:IM-9,Erlotinib,,,0.0072128917308504,0.019010838121175766,train
source_dataset:NCI-H2591,Erlotinib,,,0.0929386881660237,0.07984858751296997,train
source_dataset:JVM-2,Erlotinib,,,0.0638842930736179,0.06691603362560272,train
source_dataset:NALM-6,Erlotinib,,,0.0445844307172418,0.04220505431294441,train
source_dataset:GCIY,Erlotinib,,,0.104588580231879,0.03319322690367699,train
source_dataset:SK-MEL-30,Erlotinib,,,,0.05737485736608505,train
source_dataset:MKN45,Erlotinib,,,0.0,0.002982217585667968,train
source_dataset:HCE-4,Erlotinib,,,,0.060925088822841644,train
source_dataset:LB2241-RCC,Erlotinib,,,,0.10146095603704453,train
source_dataset:ES8,Erlotinib,,,0.0816298550163075,0.07857605814933777,train
source_dataset:NCI-H64,Erlotinib,,,0.0509091200332347,0.041782673448324203,train
source_dataset:KOSC-2,Erlotinib,,,,0.13604077696800232,train
source_dataset:QGP-1,Erlotinib,,,,0.06143161281943321,train
source_dataset:NCC021,Erlotinib,,,,0.09368608891963959,train
source_dataset:G-mel,Erlotinib,,,,0.06742637604475021,train
source_dataset:SN12C,Erlotinib,,,0.0911603338791572,0.08588771522045135,train
source_dataset:COLO 783,Erlotinib,,,,-0.0070940712466835976,train
source_dataset:KNS-42,Erlotinib,,,,0.07475166767835617,train
source_dataset:OC 314,Erlotinib,,,0.0663229071364073,0.05442378297448158,train
source_dataset:NCC010,Erlotinib,,,,0.0912337452173233,train
source_dataset:A-388,Erlotinib,,,,0.12057797610759735,train
source_dataset:Reh,Erlotinib,,,0.0017601926052374,0.024730991572141647,train
source_dataset:PC-3,Erlotinib,,,0.0314348689477129,0.01824440062046051,train
source_dataset:RL,Erlotinib,,,,0.07324022799730301,train
